name,surname,affiliation,country,page
Vincenzo, Carletti, University of Salerno,Italy, https://docenti.unisa.it/vincenzo.carletti 
Alessia, Saggese, University of Salerno, Italy, https://docenti.unisa.it/alessia.saggese
Luc, Brun, ENSICAEN, France, https://lucbrun.ensicaen.fr/index_eng.html
Walter, Kropatsch, Technische Universität Wien, Austria, https://informatics.tuwien.ac.at/people/walter-kropatsch
Mario, Vento, University of Salerno, Italy, https://docenti.unisa.it/mario.vento
Pasquale, Foggia, University of Salerno, Italy, https://docenti.unisa.it/pasquale.foggia
Benoit, Gaüzère, INSA de Rouen, France, https://scholar.google.com/citations?user=YqmqE9gAAAAJ&hl=en
Xiaoyi, Jiang, University of Münster, Germany, https://www.uni-muenster.de/PRIA/personen/jiang.shtml
Domenico, Tortorella, University of Pisa, Italy, https://dtortorella.it/
Alessio, Micheli, University of Pisa, Italy, https://pages.di.unipi.it/micheli/
David, Blumenthal, Friedrich-Alexander University Erlangen-Nürnberg, Germany, https://www.bionets.tf.fau.de/
Sébastien, Bougleux, University of Caen, France, https://bougleux.users.greyc.fr/
Ananda S., Chowdhury, Jadavpur University, India, https://sites.google.com/site/anandachowdhury/
Andrea, Torsello, Ca’ Foscari University of Venice, Italy, https://www.dsi.unive.it/~atorsell/
Bin, Luo, Anhui University, China, https://scholar.google.com/citations?user=0qaDapcAAAAJ&hl=en
Francesc, Serratosa, Universitat Rovira i Virgili in Tarragona, Spain, https://webs-deim.urv.cat/~francesc.serratosa/
Francisco, Escolano, University of Alicante, Spain, https://scholar.google.com/citations?user=pAe4Pf8AAAAJ&hl=it
Jean-Yves, Ramel, LISTIC - Université Savoie-Mont-Blanc, France, https://www.univ-smb.fr/listic/presentation/membres/enseignants-chercheurs/jean-yves-ramel/
Josep, Llados, Autonomous University of Barcelona, Spain, http://dag.cvc.uab.es/infoesposalles/team-cvc/
Kaspar, Riesen, University of Bern, Switzerland, https://prg.inf.unibe.ch/index.php/people/kaspar-riesen/
Liu, Cheng-Lin, Chinese Academy of Sciences, China, https://nlpr.ia.ac.cn/liucl/
Richard, Wilson, University of York, England, https://www.cs.york.ac.uk/people/wilson
Romain, Raveaux, Université de Tours, France, https://www.univ-tours.fr/annuaire/m-romain-raveaux
Salvatore, Tabbone, Université de Lorraine, France, https://members.loria.fr/SATabbone/
Min-Ling, Zhang, Southeast University, China, https://palm.seu.edu.cn/zhangml/
Christine, Solnon, INSA de Lyon, France, http://perso.citi.insa-lyon.fr/csolnon/
Ernest, Valveny, Autonomous University of Barcelona, Spain, https://scholar.google.com/citations?user=ChmX8ogAAAAJ&hl=en
Luca, Rossi, Hong Kong Polytechnic University, China, https://blextar.github.io/luca-rossi/
Isabelle, Bloch, Université Pierre et Marie Curie,France, https://www.lip6.fr/actualite/personnes-fiche.php?ident=P1486
Jianyi, Lin, Università Cattolica del Sacro Cuore, Italy, https://giannilin.github.io
Jean-Christophe, Janodet, Université d'Evry, France, https://www.ibisc.univ-evry.fr/~janodet/
Natàlia, Segura, Universitat Rovira i Virgili in Tarragona, Spain, https://iris.urv.cat/cat/ipublic/researcher/334410
